0.435,0.771
0.008,0.708
0.505,0.019
0.258,0.545
0.423,0.087
0.499,0.715
0.952,0.608
0.060,0.688
0.051,0.773
0.006,0.753
0.434,0.791
0.211,0.446
0.273,0.426
0.087,0.719
0.464,0.089
0.443,0.781
0.979,0.521
1.039,0.565
0.010,0.801
0.540,0.083
0.964,0.520
0.306,0.506
0.279,0.470
0.186,0.582
1.068,0.573
0.480,0.080
0.465,0.759
0.520,0.117
0.110,0.773
0.929,0.546
0.307,0.522
0.142,0.786
0.074,0.722
0.391,0.681
0.493,0.100
0.502,0.000
0.312,0.468
0.951,0.536
0.215,0.526
0.994,0.481
0.433,0.711
0.476,0.058
0.381,0.744
0.431,0.700
0.515,0.733
0.201,0.540
0.236,0.508
0.423,0.688
0.431,0.652
0.280,0.549
0.966,0.550
0.545,0.141
0.118,0.763
0.099,0.750
0.490,0.011
0.147,0.767
0.473,0.092
0.265,0.538
0.576,0.012
0.214,0.529
0.426,0.676
0.442,0.734
0.977,0.535
0.997,0.516
1.035,0.545
0.498,0.712
0.449,0.702
1.020,0.561
0.117,0.804
0.549,0.111
0.962,0.505
0.426,0.775
0.097,0.769
0.975,0.570
0.061,0.861
0.098,0.785
0.480,0.027
0.451,0.051
0.439,0.102
0.458,0.001
0.231,0.495
1.000,0.566
0.226,0.467
0.452,0.753
0.424,0.647
0.047,0.823
0.254,0.531
1.003,0.544
0.192,0.525
1.047,0.520
0.092,0.870
0.028,0.838
0.943,0.553
0.280,0.532
0.455,0.687
0.067,0.722
0.473,0.095
0.998,0.553
0.490,0.039
0.249,0.515
